block,item,n,value,unit,note
C4 half sessions,weekday sessions with 1 of the 13 regular-hours bars,1,1.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 4 of the 13 regular-hours bars,60,4.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 7 of the 13 regular-hours bars,61,7.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 8 of the 13 regular-hours bars,10,8.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 9 of the 13 regular-hours bars,8,9.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 10 of the 13 regular-hours bars,5,10.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 11 of the 13 regular-hours bars,5,11.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 12 of the 13 regular-hours bars,4,12.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,weekday sessions with 13 of the 13 regular-hours bars,6592,13.0,bars,"market holidays the panel still stamps, and half sessions; short of the full bar count they never carry a complete window and are skipped by the window filter, never filled"
C4 half sessions,sessions skipped by the 13:30 window filter,153,153.0,of them dated 1998 or later,"0 are before 1998-01-05, where sumret is empty"
C5 the product,replayed sessions dated 1998-2019,5505,5505.0,sessions,the replay assumes an SPX 0DTE straddle was listed and quoted on every one of them; the chain the book is priced from begins 2020-01-03
C5 the product,replayed sessions dated 2020-2024,1088,1088.0,sessions,the replay assumes an SPX 0DTE straddle was listed and quoted on every one of them; the chain the book is priced from begins 2020-01-03
